week_end,pathogen,Children
2025-10-04,COVID-19,2.6
2025-10-04,Influenza,17.1
2025-10-11,Influenza,20.4
2025-10-11,COVID-19,3.2
2025-10-11,RSV,
2025-10-18,Influenza,23.9
2025-10-18,COVID-19,3.4
2025-10-18,RSV,
2025-10-25,Influenza,27.7
2025-10-25,COVID-19,4.2
2025-10-25,RSV,
2025-11-01,Influenza,31.5
2025-11-01,COVID-19,5.0
2025-11-01,RSV,
2025-11-08,Influenza,33.1
2025-11-08,COVID-19,5.5
2025-11-08,RSV,
2025-11-15,Influenza,35.6
2025-11-15,COVID-19,5.8
2025-11-15,RSV,
2025-11-22,Influenza,37.3
2025-11-22,COVID-19,6.7
2025-11-22,RSV,
2025-11-29,Influenza,39.4
2025-11-29,COVID-19,6.9
2025-11-29,RSV,
2025-12-06,Influenza,41.4
2025-12-06,COVID-19,7.0
2025-12-06,RSV,
2025-12-13,Influenza,42.3
2025-12-13,COVID-19,7.1
2025-12-13,RSV,
2025-12-20,Influenza,42.4
2025-12-20,COVID-19,7.7
2025-12-20,RSV,
2025-12-27,Influenza,43.2
2025-12-27,COVID-19,7.9
2025-12-27,RSV,
2026-01-03,Influenza,43.9
2026-01-03,COVID-19,8.0
2026-01-03,RSV,
2026-01-10,Influenza,44.5
2026-01-10,COVID-19,8.1
2026-01-10,RSV,
2026-01-17,Influenza,45.1
2026-01-17,COVID-19,8.2
2026-01-17,RSV,
